time;logid;split;acdcalls;vdn;abncalls;transferred;holdcalls;auxoutoffcalls;i_acdtime;i_acwintime;holdtime;workmode;direction;auxreason;auxoutofftime;i_stafftime;i_availtime;i_auxtime;ansringtime;abntime;holdabncalls;holdacdtime
2021/06/06 10:52:15;2127929;1164;0;;0;0;0;0;0;0;0;50;1;8;0;1334;0;1130;0;0;0;0
2021/06/07 17:34:26;2104025;1002;0;;0;0;0;0;0;0;0;50;0;1;0;264;0;264;0;0;0;0
2021/06/07 17:34:26;2104025;1048;0;;0;0;0;0;0;0;0;50;0;1;0;264;0;264;0;0;0;0
2021/06/07 17:34:26;2104025;1123;0;;0;0;0;0;0;0;0;50;0;1;0;264;0;264;0;0;0;0
2021/06/08 11:22:31;2124576;6300;0;;0;0;0;0;0;0;0;20;0;;0;1347;1347;0;0;0;0;0
2021/06/08 12:34:28;2127479;1165;0;2000445;0;0;0;0;0;0;0;30;2;;0;265;0;0;0;0;0;0
2021/06/08 12:34:28;2127479;1166;0;2000445;0;0;0;0;31;0;0;30;2;;0;265;0;0;0;0;0;0
2021/06/08 12:34:28;2127479;1169;0;2000445;0;0;0;0;0;0;0;30;2;;0;265;0;0;0;0;0;0
2021/06/08 12:34:28;2127479;1172;0;2000445;0;0;0;0;0;0;0;30;2;;0;265;0;0;0;0;0;0
2021/06/08 10:10:58;2106487;1082;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1084;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1131;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1139;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1140;1;;0;0;0;0;267;3;0;20;0;;0;655;385;0;6;0;0;0
2021/06/08 10:10:58;2106487;1141;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1142;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1143;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;1144;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/08 10:10:58;2106487;6248;0;;0;0;0;0;0;0;0;20;0;;0;655;385;0;0;0;0;0
2021/06/07 19:20:08;2127497;1165;0;;0;1;1;0;0;4;3;50;0;6;0;1206;0;1202;0;0;0;0
2021/06/07 19:20:08;2127497;1166;0;;0;0;0;0;0;0;0;50;0;6;0;1206;0;1202;0;0;0;0
2021/06/07 19:20:08;2127497;1169;0;;0;0;0;0;0;0;0;50;0;6;0;1206;0;1202;0;0;0;0
2021/06/07 19:20:08;2127497;1172;0;;0;0;0;0;0;0;0;50;0;6;0;1206;0;1202;0;0;0;0
2021/06/05 14:12:14;2125574;1082;1;;0;1;1;0;490;0;80;50;1;0;0;733;97;144;2;0;0;80
2021/06/08 10:47:33;2118865;1165;0;;0;0;0;0;0;0;0;50;0;8;0;1050;0;95;0;0;0;0
2021/06/08 10:47:33;2118865;1166;1;;0;0;1;0;510;3;442;50;0;8;0;1050;0;95;3;0;0;442
2021/06/08 10:47:33;2118865;1169;0;;0;0;0;0;0;0;0;50;0;8;0;1050;0;95;0;0;0;0
2021/06/08 10:47:33;2118865;1172;0;;0;0;0;0;0;0;0;50;0;8;0;1050;0;95;0;0;0;0
2021/06/08 14:33:07;2103641;1085;0;;0;0;0;0;0;0;0;50;0;1;0;185;0;185;0;0;0;0
